country,startIP,endIP,startIpNum,endIpNum
AR,24.232.0.0,24.232.255.255,417857536,417923071
CL,45.4.0.0,45.4.3.255,755236864,755237887
BR,45.4.4.0,45.4.7.255,755237888,755238911
BR,45.4.8.0,45.4.11.255,755238912,755239935
BR,45.4.12.0,45.4.15.255,755239936,755240959
BR,45.4.16.0,45.4.19.255,755240960,755241983
BR,45.4.20.0,45.4.23.255,755241984,755243007
BR,45.4.24.0,45.4.27.255,755243008,755244031
BR,45.4.28.0,45.4.31.255,755244032,755245055
BR,45.4.32.0,45.4.35.255,755245056,755246079
BR,45.4.36.0,45.4.39.255,755246080,755247103
BR,45.4.40.0,45.4.43.255,755247104,755248127
BR,45.4.44.0,45.4.47.255,755248128,755249151
BR,45.4.48.0,45.4.51.255,755249152,755250175
BR,45.4.52.0,45.4.55.255,755250176,755251199
BR,45.4.56.0,45.4.59.255,755251200,755252223
BR,45.4.60.0,45.4.63.255,755252224,755253247
BR,45.4.64.0,45.4.67.255,755253248,755254271
BR,45.4.68.0,45.4.71.255,755254272,755255295
BR,45.4.72.0,45.4.75.255,755255296,755256319
BR,45.4.76.0,45.4.79.255,755256320,755257343
BR,45.4.80.0,45.4.83.255,755257344,755258367
HN,45.4.84.0,45.4.87.255,755258368,755259391
EC,45.4.88.0,45.4.91.255,755259392,755260415
AR,45.4.92.0,45.4.95.255,755260416,755261439
BR,45.4.96.0,45.4.96.255,755261440,755261695
AR,45.4.97.0,45.4.97.255,755261696,755261951
BO,45.4.98.0,45.4.99.255,755261952,755262463
AR,45.4.100.0,45.4.103.255,755262464,755263487
BR,45.4.104.0,45.4.107.255,755263488,755264511
BR,45.4.108.0,45.4.111.255,755264512,755265535
BR,45.4.112.0,45.4.115.255,755265536,755266559
BR,45.4.116.0,45.4.119.255,755266560,755267583
BR,45.4.120.0,45.4.123.255,755267584,755268607
BR,45.4.124.0,45.4.127.255,755268608,755269631
HN,45.4.128.0,45.4.131.255,755269632,755270655
BR,45.4.132.0,45.4.135.255,755270656,755271679
HN,45.4.136.0,45.4.139.255,755271680,755272703
BR,45.4.140.0,45.4.143.255,755272704,755273727
BR,45.4.144.0,45.4.147.255,755273728,755274751
BR,45.4.148.0,45.4.151.255,755274752,755275775
BR,45.4.152.0,45.4.155.255,755275776,755276799
BR,45.4.156.0,45.4.159.255,755276800,755277823
AR,45.4.160.0,45.4.163.255,755277824,755278847
AR,45.4.164.0,45.4.167.255,755278848,755279871
CL,45.4.168.0,45.4.171.255,755279872,755280895
HN,45.4.172.0,45.4.175.255,755280896,755281919
BR,45.4.176.0,45.4.179.255,755281920,755282943
BR,45.4.180.0,45.4.183.255,755282944,755283967
BR,45.4.184.0,45.4.187.255,755283968,755284991
BR,45.4.188.0,45.4.191.255,755284992,755286015
BR,45.4.192.0,45.4.195.255,755286016,755287039
HN,45.4.196.0,45.4.199.255,755287040,755288063
EC,45.4.200.0,45.4.203.255,755288064,755289087
HN,45.4.204.0,45.4.207.255,755289088,755290111
BR,45.4.208.0,45.4.211.255,755290112,755291135
BR,45.4.212.0,45.4.215.255,755291136,755292159
AR,45.4.216.0,45.4.219.255,755292160,755293183
BR,45.4.220.0,45.4.223.255,755293184,755294207
BR,45.4.224.0,45.4.227.255,755294208,755295231
BR,45.4.228.0,45.4.231.255,755295232,755296255
BR,45.4.232.0,45.4.235.255,755296256,755297279
BR,45.4.236.0,45.4.239.255,755297280,755298303
BR,45.4.240.0,45.4.243.255,755298304,755299327
BR,45.4.244.0,45.4.247.255,755299328,755300351
BR,45.4.248.0,45.4.251.255,755300352,755301375
AR,45.4.252.0,45.4.255.255,755301376,755302399
AR,45.5.0.0,45.5.3.255,755302400,755303423
BO,45.5.13.0,45.5.13.255,755305728,755305983
BR,45.5.14.0,45.5.14.255,755305984,755306239
AR,45.5.15.0,45.5.15.255,755306240,755306495
BR,45.5.16.0,45.5.19.255,755306496,755307519
AR,45.5.20.0,45.5.23.255,755307520,755308543
AR,45.5.24.0,45.5.27.255,755308544,755309567
BR,45.5.32.0,45.5.35.255,755310592,755311615
BR,45.5.36.0,45.5.39.255,755311616,755312639
BR,45.5.40.0,45.5.43.255,755312640,755313663
BR,45.5.44.0,45.5.47.255,755313664,755314687
BR,45.5.48.0,45.5.51.255,755314688,755315711
MX,45.5.52.0,45.5.55.255,755315712,755316735
PE,45.5.56.0,45.5.59.255,755316736,755317759
CR,45.5.60.0,45.5.63.255,755317760,755318783
HN,45.5.64.0,45.5.67.255,755318784,755319807
PE,45.5.68.0,45.5.71.255,755319808,755320831
BR,45.5.72.0,45.5.75.255,755320832,755321855
HN,45.5.76.0,45.5.79.255,755321856,755322879
BR,45.5.80.0,45.5.83.255,755322880,755323903
BR,45.5.84.0,45.5.87.255,755323904,755324927
